id,id2,group,pubauthor,pubeditor,pubeditor_type,pubdate,pubtitle,volume,pubshort,staff,publisher,pubplace,series,pp,size,isbn,issn,remark
"15","1.1.1/15","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1962, vtlan leny.: 1966/2/, 1978/3/,             1984/4/, 1992/5/, 1997/6","A magyar nyelv értelmező szótára. Hetedik kötet. U–Zs.",–,"ÉrtSz.",–,"Akadémiai Kiadó","Budapest",–,"671 pp.","25 cm. 4742 önálló szócikk, 12 840 szótári adat","ISBN 9630562812 (1997)",–,"Szerkesztette a Magyar Tudományos Akadémia Nyelvtudományi Intézete. Részletesen l.             az I. kötetnél. az I–VII. kötet összesen 58 023 önálló szócikket, 206873 szótári adatot             és több mint 115 000 idézetet tartalmaz."
"16","1.1.1/16","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"1972, vtlan leny.: 1975/2/, 1983/5/,             1985/6/, 1987/7/, 1989/8/,             1992/9","Magyar értelmező kéziszótár.",–,"ÉKsz.",–,"Akadémiai Kiadó","Budapest",–,"XV+1550 pp. A kétkötetes változat: I. A–K. XV+1–809 pp. ; II. L–Zs. 809–1550 pp.","25 cm.","ISBN 963056212X (1992/9/)",–,"Készült a Magyar Tudományos Akadémia Nyelvtudományi Intézetében. Szerk.: JUHÁSZ             József, SZŐKE István, O. NAGY Gábor, KOVALOVSZKY Miklós. A szótár készítésében részt             vettek: J. SOLTÉSZ Katalin, SZILÁGYI Ferenc, továbbá BAKOS Ferenc, P. BALÁZS János,             ELEKFI László, KISS Lajos, KOVÁCS Teréz, LADÓ János, LENGYEL Lajos, H. MOLNÁR Ilona,             ORSZÁGH László, SZABADI Béla, WACHA Imre. Lektor: GARAMVÖLGYI József."
"17","1.1.1/17","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","GRÉTSY László & KEMÉNY Gábor",–,–,"1992","Képes diákszótár 14000 címszóban.",–,–,"Írták: BÍRÓ Ágnes, P. EŐRY Vilma, FELDE Györgyi, HELTAINÉ NAGY Erzsébet, KARDOS             Tamás, SZŰCS László, T. URBÁN Ilona. A szerkesztésben közreműködött: KISS Gábor, T.             SOMOGYI Magda, G. SZAMÁK Ágnes. Tanácsadó: KOVALOVSZKY Miklós. Ill.: BALOGH Jenő","Akadémiai Kiadó","Budapest",–,"1110 pp.","20 cm. 14 000 címszó, 80 képtábla","ISBN 9630564130",–,"a szótár függeléke igeragozási táblázatokat tartalmaz."
"18","1.1.1/18","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","PUSZTAI Ferenc",–,–,"2003, második átdolg. kiad.","Magyar értelmező kéziszótár",–,"ÉKsz.","Szerk.: GERSTNER Károly, JUHÁSZ József, KEMÉNY Gábor, SZŐKE István, VÁRADI Tamás. Az             átdolgozásban és az előszerkesztésben részt vettek: BÍRÓ Ágnes, FERCSIK Erzsébet,             HEGEDŰS Attila, T. SOMOGYI Magda, továbbá: CSERNISKÓ István, LANSTYÁK István, PÉNTEK             János, SZILÁGYI N. Sándor, TÓTH Lajos, † VILLÓ Ildikó. Lektor: KEMÉNY Gábor.             Adatbázis-szerk.: PAJZS Júlia","Akadémiai Kiadó","Budapest",–,"1505 pp.","28 cm.","ISBN 9630580241",–,"Közel 75 000 címszó (közel 5000 új címszó). A jelen kiadás felsorolja az előző             (1972) kiadás valamennyi szerkesztőjét és munkatársát, l. a 1.1.1(16) tételt."
"19","1.1.1/19","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","PUSZTAI Ferenc",–,–,"2003/2/ átdolg. kiad.","Magyar értelmező kéziszótár CDvel.",–,–,–,"Akadémiai Kiadó","Budapest",–,–,–,–,–,–
"20","1.1.1/20","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,"ITTZÉS Nóra","főszerk","2006","A magyar nyelv nagyszótára I. Segédletek",–,–,"Informatikai munkatársak: KISS Gabriella MÁRTONFI Attila, NAGY Viktor, PAJZS Júlia,             PRÓSZÉKY Gábor, TIHANYI László. Bibliográfiai munkatársak: BARCZA Csillag, RENKECZ Anita             Orsolya, RÓZSAFALVI Zsuzsanna, TAMÁS Dóra Zsófia. Adatrögzítők: MÉSZÁROSNÉ ZOLLER             Erzsébet, NAGYNÉ SZEDERKÉNYI Éva, SZABÓ Tiborné, TÓTH Lajos Pál, VILÓNÉ VADÁSZ Irén.             Technikai munkatársak: GÖLNICZI Margit, TÜSKE Margit","MTA Nyelvtudományi Intézet","Budapest",–,"1119 pp.",–,"ISBN-10 639074381 (összkiadás); ISBN-13 9789639074385 (összkiadás); ISBN-10 963907439X             (kötet); ISBN-13 9789639074392 (kötet)",–,"A kötet tartalma: – Bevezetők – Főszerkesztői előszó (Ittzés Nóra), A magyar nyelv             nagyszótárainak áttekintő története (Gerstner Károly), – Az elektronikus korpusz             (Csengery Kinga), A magyar nyelv nagyszótárainak számítógépes vonatkozásai (Pajzs Júlia,             Mártonfi Attila) – Tájékoztató a szótár szerkesztési elveiről, szerkezetéről és             használati módjáról (Ittzés Nóra) – Forrásés névjegyzékek (Szabó Tamás Péter) [kb. 30             000 tétel] – Ragozási táblázatok (Elekfi László, Laczkó Krisztina) [1809 táblázat] –             Rövidítések, lexikai minősítések, szaknyelvi jelölések."
"21","1.1.1/21","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,"ITTZÉS Nóra","főszerk","2006","A magyar nyelv nagyszótára II. A-azsúroz",–,–,"Szerzők: BARCZA Virág, CSENGERY Kinga, FIERS Márta, GYENESE Ilona, GYŐRFFY András,             ITTZÉS Nóra, KÉTHELY Anna, KISS Csilla, KISS Margit, P. MÁRKUS Katalin, MÁRTONFI Attila,             ÓNODY Csilla, G. OROSZ Renáta, PAIS Judit, SZENTGYÖRGYI Rudolf, SZIRMAI Diána, TÓTH             Lajos Pál, VARGA Éva Katalin. Szerkesztők: CSENGERY Kinga, FIERS Márta, GYENESE Ilona,             KISS Csilla, MÁRTONFI Attila. Szótári főmunkatársak: ELEKFI László, GERSTNER Károly,             KISS Lajos, PUSZTAI Ferenc. Általános lektorok: GERSTNER Károly, KEMÉNY Gábor, PUSZTAI             Ferenc. Informatikai munkatársak: MÁRTONFI Attila, PAJZS Júlia. Filológiai munkatársak:             ISTVÁNFFY András, SIMON László, SZÉKÁCS István","MTA Nyelvtudományi Intézet","Budapest",–,"1550 pp.",–,"ISBN-10 9639074381 (összkiadás); ISBN-13 9789639074385 (összkiadás); ISBN-10             9639074403 (kötet); ISBN-13 9789639074408 (kötet)",–,"A kötet 4443 önálló és 1087 alcímszót tartalmaz. A kötetben a 6. lapon található a             szaklektorok jegyzéke (50 név). Az 1547–1550. lapon található a kötet példamondataiban             előforduló rövidítések jegyzéke."
"22","1.1.1/22","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,"EŐRY Vilma","főszerk","2007","Értelmező szótár+. Értelmezések, példamondatok, szinonimák, ellentétek, szólások,             közmondások, etimológiák, nyelvhasználati tanácsok és fogalomköri csoportok.",–,–,"Szerk.: BÁNKI Judit, BÍRÓ Ágnes, SZIRMAI Diána","Tinta Könyvkiadó","Budapest",–,–,–,"ISBN 9789637094736",–,"1–2. kötet 1860 pp. 24,3 cm. 16065 címszóhoz kapcsolva 250000 nyelvi adat. A Magyar             Nyelv Kézikönyvei XIII-XIV. ISSN 1598-4371. ISBN 9789637094712 (összkiadás). 1. kötet:             ISBN 9789637094729. 2. kötet:"
"23","1.1.1/23","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"2008","Magyar értelmező szótár, Akadémiai. Dictionary of the Hungarian             Language",–,–,–,"Hangosszótár","CD-vel",–,"1146 pp.","21 cm. 25 000 címszó, kiejtéssel",–,–,"Akadémiai Kiadó, Budapest. Főszerk.: PUSZTAI Ferenc. Vezető szerk.: CSÁBI Szilvia.             Számítástechnikai munkatársak: GÁL Zoltán, DETRICH Miklós, MILE István et al."
"24","1.1.1/24","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"2009","Magyar értelmező kéziszótár net-tel",–,–,–,"Akadémiai Kiadó","Budapest",–,"1536 pp.","28,5 cm. 75 000 címszó, 150 000 kifejezés","ISBN 9789630587372",–,"MTA Nyelvtudományi Intézet,"
"25","1.1.1/25","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak",–,–,–,"2009","Magyar értelmező szótár hangos cd-vel és net-tel.",–,–,–,–,–,–,–,–,"ISBN 9789630585545",–,"MTA Nyelvtudományi Intézet, Akadémiai Kiadó, Budapest. 1156 pp. 25 000             címszó."
"26","1.1.1/26","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","TÁTRAI Ildikó",–,–,"2009","Játszótárs. Képes magyar értelmező szótár 6-10 éves gyermekeknek.",–,–,"Szerk.: BÁNKI Judit. Szaklektor: PUSZTAI Ferenc","Akadémiai Kiadó","Budapest",–,"300 pp.","23,8 cm. 1700 szócikk","ISBN 9789630586849",–,–
"27","1.1.1/27","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.1. Általános értelmező (leíró) szótárak","KRESZNERICS Ferenc",–,–,"2010","Magyar szótár gyökérrenddel és deákozattal.",–,–,–,"Tinta Kiadó","Budapest",–,–,"28 cm. 782 pp",–,–,"Az 1831–32ben Budán kiadott kétkötetes mű reprint kiadása egy kötetben. ISBN             9789639902527."
"28","1.1.2/1","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","BUDENZ József",–,–,"1873–1881","Magyar–ugor összehasonlító szótár.",–,"MUSz.",–,"Magyar Tudományos Akadémia","Budapest",–,"XVIII+885 pp. Megj.: Előszó (III–X.); Egyéb tudnivalók (források, rövidítések             XI–XVIII.). Szótár (1–877); Utójegyzet (878–880); Toldalék (881–885). Összesen 996             szócikk. A szótárhoz csatlakozik: Budenz József Magyar–ugor összehasonlító szótárához             való szómutatók. Budapest, 1881. 99 pp.",–,–,–,"kiadó külön nincs megnevezve. Mutató (1–96); sajtóhibák (97–98); pótlások             (99)."
"29","1.1.2/2","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZARVAS Gábor & SIMONYI Zsigmond",–,–,"1890","Magyar nyelvtörténeti szótár. Első kötet. A legrégibb nyelvemlékektől a             nyelvújításig. Lexicon linguae hungaricae aevi antiquioris.","I. A–I XXXIV+827.","NySz.",–,"Hornyánszky Viktor Akadémiai Könyvkereskedése","Budapest",–,–,–,–,–,"a 827 lap 1654 hasábot tartalmaz, a szótárban hasábszámozás található. Előszó (I);             Utasítások (II–III.); Bevezetés (V–XVIII.); A források jegyzéke (XIX–XXXIII.); Egyéb             rövidítések és jelek (XXXIV.)."
"30","1.1.2/3","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZARVAS Gábor & SIMONYI Zsigmond",–,–,"1891","Magyar nyelvtörténeti szótár. Második kötet. A legrégibb nyelvemlékektől a             nyelvújításig. Lexicon linguae hungaricae aevi antiquioris.","II. J–S","NySz.",–,"Hornyánszky Viktor Akadémiai Könyvkereskedése","Budapest",–,"815 pp.",–,–,–,"a 815 lap 1630 hasábot tartalmaz, a szótárban hasábszámozás található."
"31","1.1.2/4","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZARVAS Gábor & SIMONYI Zsigmond",–,–,"1893","Magyar nyelvtörténeti szótár. Harmadik kötet. A legrégibb nyelvemlékektől a             nyelvújításig. Lexicon linguae hungaricae aevi antiquioris.","III. Sz–Zs és","NySz.",–,"Hornyánszky Viktor Akadémiai Könyvkereskedése","Budapest",–,"Szómutató. 658+290 pp.",–,–,–,"a 658 lap 1316 hasábot tartalmaz, a szótárban hasábszámozás található. A további 290             lapon a Szómutató található. A Szómutató első lapja előtti számozatlan levélen a             Pótlékforrások jegyzéke olvasható. A Szómutató adatai három hasábba vannak             rendezve."
"32","1.1.2/5","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak",–,"SZAMOTA István","„Legnagyobb részüket gyűjtötte”","1902–1906","Pótlék a Magyar Nyelvtörténeti Szótárhoz. Magyar Oklevélszótár. Régi oklevelekben             és egyéb iratokban előforduló magyar szók gyűjteménye. Supplementum ad Lexicon linguae             hungaricae aevi antiquioris. Lexicon vocabulorum hungaricorum. In diplomatibus aliisque             quae reperiri possunt vetustorum.",–,"OklSz.",–,"Hornyánszky Viktor Könyvkereskedése","Budapest",–,"XXXII+605 pp.",–,–,–,"Szótárrá szerkesztette ZOLNAI Gyula. a 605 lap 1210 hasábot tartalmaz, a szótárban             hasábszámozás található. A szótár eredetileg füzetekben jelent meg – ez magyarázza a             kiadás évszámát –, de egybekötött változata van használazban. Bevezetés (V–XXV.);             Források és idézett munkák jegyzéke (XXVI–XXXI.); Egyéb rövidítések és jelek (XXXII.);             Pótlások és javítások (1121–1210. hasáb). A szótár az Állami Könyvterjesztő Vállalat             reprint sorozatában 1984-ben változatlan lenyomatban is megjelent. ISBN 9630226707, ISSN             0231-1518."
"33","1.1.2/6","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","MUNKÁCSI Bernát",–,–,"1901","Árja és kaukázusi elemek a finn-magyar nyelvekben. I. kötet. Magyar szójegyzék s             bevezetésül: a kérdés története.","I.","ÁKE.",–,"Magyar Tudományos Akadémia","Budapest",–,"VII+672 pp.",–,–,–,"Előszó (III–VII.); Bevezetés (1–110.); Forrásés rövidítésjegyzék (110–117.); Magyar             szójegyzék (118–638.); Pótlások és helyreigazítások (639–653.); Tartalommutató             (654–668.); Magyar szómutató (668–672.); 397 magyar címszó. 1960-ban, a Nyelvtudományi             Közlemények 62. évfolyamának mellékleteként jelent meg: Szómutató Munkácsi Bernát „Árja             és kaukázusi elemek a finn-magyar nyelvekben” Összeállította JUHÁSZ Jenő. 59 lap, magyar             adatokat nem tartalmaz, ezek az eredeti műben találhatók. A szómutató néhány eredeti             művel egybe van kötve."
"34","1.1.2/7","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZILY Kálmán",–,–,"1902","A magyar nyelvújítás szótára. A kedveltebb képzők és képzésmódok             jegyzékével.",–,"NyÚSz.",–,"Hornyánszky Viktor kiadása","Budapest",–,"XV+404 pp.",–,–,–,"Előszó (V–VII.); A jelölések magyarázata (VIII–XV.); Függelék (389–403.);             Tartalomjegyzék (404.)."
"35","1.1.2/8","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZILY Kálmán",–,–,"1908, repr.: 1994, 1999","A magyar nyelvújítás szótára. Második rész. Mind a két részre terjedő             szómutatóval.",–,"NyÚSz.",–,–,–,–,"XII+258 pp.",–,–,–,"Hornyánszki Viktor kiadása. a második rész arab számozású lapszámozása az első kötet             404. lapjától folytatódik, így az első és a második rész összesített lapszáma 663.             Előszó (III–IV.); A jelölések magyarázata (V–XII.); Pótlék (618.); Egyesített szómutató             (619–662.); Tartalomjegyzék (663.). A Nap Kiadó Bt. 1994-ben és 1999-ben reprint             kiadásban megjelentette a szótárt. Az eredeti szótár után a reprintben utószó és             összevont tartalomjegyzék található. ISBN 9638116226 (1999)."
"36","1.1.2/9","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","CS. BOGÁTS Dénes",–,–,"1943","Háromszéki oklevél-szójegyzék.",–,"HOklSz.",–,–,–,–,"182 pp.",–,–,–,"Háromszéken keletkezett iratokból kijegyzett szótörténeti adalékok."
"37","1.1.2/10","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZABÓ T. Attila",–,–,"1975","Erdélyi magyar szótörténeti tár I. kötet. Dicţionarul istoric al lecicului maghiar             din Transilvania. Wortgeschichtlicher Thesaurus der siebenbürgisch-ungarischen             Sprache.","I. A–C.","SZT.","Munkatársak: KELEMEN Béla, NAGY Jenő, SZ. CSÁTI Éva, SZABÓ T. E. Attila. Lektorok:             BREBAN Vasile, EISENBURGER-SZILÁGYI Margit, KISS András. Anyagrendezés: SZABÓ T.             Judit","Kriterion Könyvkiadó","Bukarest",–,"1227 pp.","7223 címszó",–,–,"Előszó magyarul, románul, németül (5–10.); Tájékoztató magyarul, románul, németül             (11–35.); Különféle rövidítések (36–41.); az 1227. (számozatlan) lapon             Helyesbítések."
"38","1.1.2/11","1. EGYNYELVŰ SZÓTÁRAK # 1.1. MAGYAR # 1.1.2. Történeti elvű teljes és nyelvtörténeti szótárak","SZABÓ T. Attila",–,–,"1978","Erdélyi magyar szótörténeti tár II. kötet. Dicţionar istoric al lexicului maghiar             din Transilvania. Historisches Wörterbuch des siebenbürgisch-ungarischen             Wortschatzes.","II. Cs–Elsz.","SZT.","Szerk.: KÓSA Ferenc, NAGY Jenő, VÁMSZER Márta, VIGH Károly, ZSEMLYEI János.             Munkatársak: SZ. CSÁTI Éva, SZABÓ T. E. Attila. Lektorok: BREBAN Vasile,             EISENBURGER-SZILÁGYI Margit, KISS András. Anyagrendezés: SZABÓ T. Judit","Kriterion Könyvkiadó","Kolozsvár",–,"1219 pp.","6150 címszó",–,–,"Kiegészítések és javítások az I. kötet rövidítésjegyzékeihez (5–7.); a hátsó kolofon             lapjára helyesbítések ragasztva."
